imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,0,0,0,0,13.311647800263017,None,36.399761700071394,37.42794040031731,37.42028950015083,None,1,-1,7,0,0,1,2,0,42.02681790012866,44.52607070002705,0.003500239457935095,0.5035002394579351,44.725913900416344,47.2237145002,47.2237145002,None,right,8.78700859984383,41.53373240027577,None,3.0013412395492196,3.20134123954922,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,1,0,1,0,,,,,,,1,1,7,21,21,0,2,1,50.98157810000703,53.48542120028287,0.005536900367587805,0.5055369003675878,53.68546660011634,56.18336720019579,56.18336720019579,None,right,10.954417200293392,50.48851850023493,None,3.008354499936104,3.208354499936104,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,2,0,2,0,,,,,,,1,-1,7,0,0,1,1,0,62.17482289997861,64.67617730004713,0.002312940079718828,0.5023129400797188,64.87616470037028,67.37409420032054,67.37409420032054,None,right,7.3862152001820505,61.682301700115204,None,3.0021344400011003,3.2021344400011005,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,3,0,3,0,,,,,,,2,1,7,18.375,18,0,2,1,69.7321906001307,72.23666200041771,0.004959000274538994,0.504959000274539,72.43625520030037,74.93455790029839,74.93455790029839,None,right,5.701047400012612,69.24027180019766,None,3.0072864005342126,3.2072864005342128,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,4,0,4,0,,,,,,,2,-1,7,2.625,3,1,1,0,75.66249010013416,78.16517140017822,0.0036226799711585045,0.5036226799711585,78.36465170001611,80.86278389999643,80.86278389999643,None,right,6.7076254999265075,75.1702340003103,None,3.0046275798231363,3.2046275798231365,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,5,0,5,0,,,,,,,1,1,7,21,21,0,1,0,82.60074560018256,85.10928780026734,0.010101139545440674,0.5101011395454407,85.29494500020519,None,None,None,left,4.788835600018501,82.10708650015295,None,3.004545339848846,3.2045453398488464,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,6,0,6,0,,,,,,,3,1,7,15.75,16,0,2,0,87.54744650004432,90.05518660042435,0.012039199937134981,0.512039199937135,90.24115760019049,92.75319040007889,92.74009450012818,None,left,5.710768100339919,87.05496970005333,None,3.0052066002972424,3.2052066002972426,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,7,0,7,0,,,,,,,2,1,7,21,21,0,1,0,93.41873730020598,95.91718630027026,0.01591830002143979,0.5159183000214398,96.10280990041792,None,None,None,left,4.823636199813336,92.92644469998777,None,2.999241200275719,3.1992412002757193,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,8,0,8,0,,,,,,,3,-1,7,21,21,0,1,0,98.4043140001595,100.91297439998016,0.015601200051605701,0.5156012000516057,101.10032400023192,None,None,None,right,4.933150399941951,97.90895229997113,None,3.0120276999659836,3.212027699965984,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,9,0,9,0,,,,,,,3,-1,7,4.375,4,1,1,0,103.51112590031698,106.00898740021512,0.002524799667298794,0.5025247996672988,106.20818990003318,None,None,None,right,5.337582299951464,103.01804330013692,None,2.999432399868965,3.1994323998689653,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,10,0,10,0,,,,,,,4,1,7,21,21,0,1,0,109.0145283001475,111.52082730038092,0.012347499839961529,0.5123474998399615,111.70804900024086,None,None,None,left,5.191630000248551,108.52013600012287,None,3.0057429000735283,3.2057429000735285,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,11,0,11,0,,,,,,,5,1,7,21,21,0,1,0,114.37300660042092,116.88334600022063,0.015238800086081028,0.515238800086081,117.06944950018078,None,None,None,left,5.378400899935514,113.87935930024832,None,3.011360500007868,3.211360500007868,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,12,0,12,0,,,,,,,4,-1,7,6.125,6,1,1,0,119.93480170005932,122.44544500019401,2.4300534278154373e-05,0.5000243005342782,122.6439836001955,None,None,None,right,4.666059399954975,119.4402878000401,None,3.0104780006222427,3.210478000622243,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,13,0,13,0,,,,,,,6,1,7,21,21,0,1,0,124.76444900035858,127.27480260003358,0.014378400053828955,0.514378400053829,127.4609945002012,None,None,None,left,4.288436700124294,124.27198250032961,None,3.0095519004389644,3.2095519004389645,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,14,0,14,0,,,,,,,2,-1,7,2.625,3,1,2,0,129.21675430005416,131.72101850016043,0.008618500549346209,0.5086185005493462,131.9212291003205,None,None,None,right,4.9945139000192285,128.72395060025156,None,3.0112421005032957,3.211242100503296,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,15,0,15,0,,,,,,,5,-1,7,7.875,8,1,1,0,134.385067100171,136.88361870031804,0.002854000311344862,0.5028540003113449,137.08371930010617,None,None,None,right,4.032326600048691,133.89250010019168,None,2.9999514003284276,3.1999514003284277,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,16,0,16,0,,,,,,,3,-1,7,4.375,4,1,2,1,138.59217349998653,141.09657300030813,0.008217000402510166,0.5082170004025102,141.2990383002907,None,None,None,left,4.545291800051928,138.1007060003467,None,3.010657500475645,3.2106575004756452,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
