imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,7.207152699993458,None,11.8810083999997,None,1,1,7,21,21,0,3,0,14.615917499992065,19.623917299992172,0.011952800006838515,0.5119528000068385,14.615917499992065,19.623917299992172,19.591162600001553,None,left,0.3506879999767989,19.591162600001553,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,1,0,1,0,,,,,1,-1,7,21,21,0,1,0,20.539458000013838,25.552505800005747,0.008549999998649582,0.5085499999986496,20.539458000013838,25.552505800005747,25.535956400010036,None,right,1.267051700007869,25.535956400010036,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,2,0,2,0,,,,,2,1,7,21,21,0,1,1,27.419381500018062,32.430137899995316,0.012217699986649677,0.5122176999866497,27.419381500018062,32.430137899995316,32.413679799996316,None,right,0.5192077999818139,32.413679799996316,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,3,0,3,0,,,,,1,1,7,21,21,0,2,1,33.529454300005455,38.54155210001045,0.015171999984886497,0.5151719999848865,33.529454300005455,38.54155210001045,38.525255100015784,None,right,0.3811250999860931,38.525255100015784,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,4,0,4,0,,,,,2,-1,7,18.375,18,0,2,0,39.49122610001359,44.503755200013984,0.003971999976783991,0.503971999976784,39.49122610001359,44.503755200013984,44.48821370000951,None,right,0.6646634000062477,44.48821370000951,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,5,0,5,0,,,,,2,1,7,18.375,18,0,3,0,45.75555319999694,50.765264300018316,0.010045500006526709,0.5100455000065267,45.75555319999694,50.765264300018316,50.74869330000365,None,left,0.41083519998937845,50.74869330000365,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,6,0,6,0,,,,,3,1,7,18.725,19,0,1,1,51.78082580000046,56.79332460000296,0.012570299993967637,0.5125702999939676,51.78082580000046,56.79332460000296,56.77679570001783,None,right,0.3038088999746833,56.77679570001783,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,7,0,7,0,,,,,3,-1,7,18.666666666666668,19,0,3,0,57.676800799992634,62.688569899997674,0.011455300002126023,0.511455300002126,57.676800799992634,62.688569899997674,62.67157259999658,None,right,0.5398711999878287,62.67157259999658,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,8,0,8,0,,,,,3,1,7,18.666666666666668,19,0,2,1,63.82128740000189,68.83421010000166,0.004096800024854019,0.504096800024854,63.82128740000189,68.83421010000166,68.81800640001893,None,right,0.3896781000075862,68.81800640001893,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,9,0,9,0,,,,,4,1,7,0,0,1,2,0,69.79920130001847,74.81323299999349,0.0029190000204835087,0.5029190000204835,69.79920130001847,74.81323299999349,74.79520330001833,None,left,0.3273142999969423,74.79520330001833,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,10,0,10,0,,,,,4,1,7,0,0,1,1,0,75.71115859999554,80.72391729999799,0.005952300038188696,0.5059523000381887,75.71115859999554,80.72391729999799,80.7067420000094,None,left,0.33972700001322664,80.7067420000094,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,11,0,11,0,,,,,5,1,7,0,0,1,1,0,81.63951490001637,86.65223030000925,0.006051299977116287,0.5060512999771163,81.63951490001637,86.65223030000925,86.63527130000875,None,left,5.6442451000039,86.63527130000875,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,12,0,12,0,,,,,5,1,7,0,0,1,2,0,92.89760650001699,97.91132760001346,0.016260100004728884,0.5162601000047289,92.89760650001699,97.91132760001346,97.89455670001917,None,left,0.40189639999880455,97.89455670001917,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,13,0,13,0,,,,,4,-1,7,0,0,1,3,0,98.87907140000607,103.88800310000079,0.010170399997150525,0.5101703999971505,98.87907140000607,103.88800310000079,103.87110990000656,None,right,0.37742410000646487,103.87110990000656,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
1,barber,7,0,0,0,0,14,0,14,0,,,,,5,1,7,0,0,1,3,0,104.82324319999316,109.83305610000389,0.010860499984119087,0.5108604999841191,104.82324319999316,109.83305610000389,109.81668580000405,None,left,0.3450373999949079,109.81668580000405,None,,2021_Feb_19_1320,InterleavedStaircase,2020.2.10,59.91974349829647,
